pporto,pguima,sporto,spovoa,sbarce,sfama,sbraga,sguima
2585,1954,1362,85,112,464,1686,361
3368,2302,1701,89,118,675,1591,311
3210,3054,1879,109,129,703,2304,204
3111,2414,1658,95,99,887,1712,180
3756,2226,1795,91,116,1139,1471,112
4216,2725,2082,95,168,1077,1377,112
5225,2589,2344,96,118,1318,1966,102
4426,3470,2369,128,129,1260,2453,139
3932,2400,1900,124,205,1120,1984,249
3816,3180,2099,111,147,963,2596,281
3661,4009,2301,178,150,996,4087,367
3795,3924,2316,140,267,960,5179,391
2285,2072,1307,150,126,530,1530,351
2934,2434,1610,132,129,883,1523,301
2985,2956,1782,155,124,894,1633,251
3646,2828,1942,132,97,1045,1976,190
4198,2687,2066,91,102,1199,1170,127
4935,2629,2269,94,127,1287,1480,98
5618,3150,2630,109,222,1565,1781,97
5454,4119,2872,155,214,1577,2472,195
3624,3030,1996,123,118,1076,1981,247
2898,3055,1786,130,141,918,2273,371
3802,3821,2287,150,154,1008,3857,339
2369,4001,1911,163,226,1063,4551,368
2369,2529,1469,101,89,544,1510,339
2511,2472,1495,123,77,635,1329,313
3079,3134,1864,127,82,804,1518,225
3728,2789,1955,112,97,980,1790,120
4151,2758,2073,108,127,1018,1537,145
4326,2993,2196,116,121,1064,1449,73
5054,3282,2501,153,117,1404,1954,154
5138,3437,2572,163,117,1286,1897,199
3310,2804,1834,128,106,1104,1706,187
3508,3076,1975,142,112,999,2514,330
3790,3782,2272,170,134,996,3593,390
3446,3889,2200,214,169,1015,4524,392
2127,2271,1319,134,75,615,1609,384
2523,2452,1492,122,108,722,1638,302
3017,3084,1830,142,115,832,2030,248
3265,2522,1736,156,85,977,1375,228
3822,2769,1977,145,101,1270,1320,108
4027,3438,2240,169,108,1437,1245,91
4420,2839,2178,134,109,1520,1600,119
5255,3746,2700,165,124,1708,2298,161
4009,2632,1992,156,105,1151,2191,293
3074,2851,1778,111,95,934,2511,324
3465,3871,2201,165,135,1159,3440,341
3718,3618,2201,197,164,1209,4923,289
1954,2389,1303,124,88,699,1609,357
2604,2344,1484,124,85,830,1435,365
3626,2678,1891,139,112,996,2061,186
2836,2492,1598,137,87,1124,1789,124
4042,2858,2070,127,91,1458,1567,153
3584,2246,1749,134,87,1270,1404,125
4225,2800,2108,136,87,1753,1597,161
4523,3869,2518,171,142,2258,3159,176
2892,3007,1770,112,95,1208,1759,238
2876,3023,1770,110,108,1241,2504,230
3420,3907,2198,147,139,1265,4273,382
3159,4209,2210,196,159,1828,5274,346
2101,2353,1336,112,61,809,1771,326
2181,2570,1425,118,82,997,1682,354
2724,2903,1688,125,124,1164,1846,231
2954,2910,1759,122,93,1205,1589,208
4092,3782,2362,120,108,1538,1896,140
3470,2759,1869,118,75,1513,1379,112
3990,2931,2076,281,87,1378,1645,108
4239,3641,2364,344,103,2083,2512,168
2855,2794,1695,366,90,1357,1771,206
2897,3070,1790,362,108,1536,3727,336
3433,3576,2103,580,123,1526,4388,327
3307,4106,2224,523,129,1376,5434,394
1914,2452,1310,348,57,779,1606,347
2214,2206,1326,246,65,1005,1523,303
2320,2488,1442,197,67,1193,1577,215
2714,2416,1539,306,71,1522,1605,135
3633,2534,1850,279,76,1539,1765,51
3295,2521,1745,280,67,1546,1403,65
4377,3093,2241,358,110,2116,2584,148
4442,3903,2504,431,118,2326,3318,126
2774,2907,1704,448,99,1596,1562,253
2840,3025,1760,433,85,1356,2349,278
2828,3812,1992,504,107,1553,3987,308
3758,4209,2390,579,141,1613,5891,351
1610,2138,1124,384,58,814,1389,362
1968,2419,1316,335,65,1150,1442,319
2248,2622,1461,320,70,1225,1548,225
3262,2912,1852,496,86,1691,1935,176
3164,2708,1762,448,93,1759,1518,141
2972,2798,1731,377,74,1754,1250,137
